Gene	aos_HRFR_1.5h_nw	aos_HRFR_1.5h_w	aos_LRFR_1.5h_nw	aos_LRFR_1.5h_w	aos_HRFR_4h_nw	aos_HRFR_4h_w	aos_LRFR_4h_nw	aos_LRFR_4h_w	Col-0_HRFR_1.5h_nw	Col-0_HRFR_1.5h_w	Col-0_LRFR_1.5h_nw	Col-0_LRFR_1.5h_w	Col-0_HRFR_4h_nw	Col-0_HRFR_4h_w	Col-0_LRFR_4h_nw	Col-0_LRFR_4h_w
AT3G62410	6.623025248	6.579215828	6.583453189	6.456560347	6.396927701	6.493632527	5.285971649	5.403394648	6.510072729	6.39814652	6.217867388	6.194167376	6.313847955	6.675404686	5.2585972	5.798075074
AT3G62450	3.347954803	3.239699182	3.491130986	3.287997146	3.296902772	3.269446068	3.672104207	3.539491463	3.406629585	3.347220621	3.521630158	3.431422674	3.355890266	3.240599904	3.596042204	3.626722265
AT3G62455	2.311675163	1.764064805	2.314485145	2.48237401	1.840137839	1.489922054	2.146646104	2.003529867	1.503894786	0.62217939	2.091316648	1.094308936	1.081910143	0.004139958	1.643900079	1.340504917
AT3G62460	2.498595135	2.279215475	2.775406459	2.797125447	2.553329603	2.240738826	3.353376485	3.249680408	2.305108206	1.599425928	2.355403886	1.848903884	1.629733564	1.077293891	3.016456819	2.681705855
AT3G62470	1.97159218	1.900434251	1.98903807	1.861093577	2.025166841	1.715878074	1.831029404	1.725706147	1.966034775	1.647616789	1.988088736	1.824446883	1.959899015	1.782969772	1.787366281	1.719487541
AT3G62500	2.075620434	2.102822849	1.782912731	1.986736801	2.210887678	2.12175611	1.51816892	1.339570369	1.972847695	1.65207782	1.923475117	1.852593358	2.030322029	1.774922499	1.534433182	1.432670969
AT3G62510	0.207116475	-0.001132806	0.256455037	-0.058178982	0.210365423	-0.095673739	-0.745626531	-0.582304898	-0.000352504	-0.311087448	0.032066128	0.092234346	-0.149231633	-0.167753194	-0.629789006	-0.337977408
AT3G62530	7.847254661	7.670996919	7.925475572	7.814903868	7.926002423	7.813161578	8.051812424	7.970505556	7.99045623	7.76172767	7.971059341	7.774721486	8.039354285	7.764309449	8.197420866	8.023891415
AT3G62550	2.550652548	2.498766455	1.673510721	1.604685161	5.362318291	5.15848677	3.794689238	4.079652192	1.536634627	-0.317879384	0.258358779	-0.314616599	4.536896636	4.09818933	3.057378781	3.457235132
AT3G62560	4.856678389	4.81105891	4.781483202	4.843007803	4.87112359	4.829361697	4.701992625	4.905462136	4.648671322	4.8375424	4.596307036	4.681863619	4.719940275	5.020486866	4.605849568	4.846959408
AT3G62570	2.453666755	2.733797278	2.885077059	3.013130763	2.735843112	2.817269985	4.063179485	4.381491679	2.832286971	1.759689513	3.250555497	2.836810638	3.091788877	1.803027297	4.198151525	3.772640767
AT3G62580	5.668182586	5.735181279	5.726355817	5.702774423	5.632901324	5.857918892	4.921143827	4.93963393	5.376412993	6.438826162	5.404957572	6.19802121	5.415803989	6.657035542	4.889275209	5.898216281
